name,season,finishedPopulation,bronzeMedalCount,silverMedalCount,goldMedalCount,authorMedalCount
1,2022-3_Fall,17067,16978,16734,15851,9869
2,2022-3_Fall,16250,16102,15369,13364,7595
3,2022-3_Fall,15550,15436,14991,12759,6385
4,2022-3_Fall,15019,14926,14571,13376,9229
5,2022-3_Fall,14109,13771,12724,11590,5411
6,2022-3_Fall,12247,12054,11433,9701,4536
7,2022-3_Fall,11458,11303,11175,10014,4825
8,2022-3_Fall,11429,11337,10804,9435,3898
9,2022-3_Fall,10933,10804,10353,8592,3412
10,2022-3_Fall,10459,10325,9789,8555,4415
11,2022-3_Fall,9665,9424,9106,8249,3008
12,2022-3_Fall,9383,9300,8583,6027,1766
13,2022-3_Fall,8654,8416,7800,5771,2176
14,2022-3_Fall,8346,8269,8075,7140,3184
15,2022-3_Fall,8056,7867,7344,5640,2339
16,2022-3_Fall,7502,7144,6675,5845,2481
17,2022-3_Fall,6757,6133,5224,3958,1690
18,2022-3_Fall,6642,6478,5881,4346,1413
19,2022-3_Fall,6453,6185,5420,3982,1796
20,2022-3_Fall,6190,5996,5261,4013,1575
21,2022-3_Fall,5961,5618,4623,2994,1045
22,2022-3_Fall,4983,4521,3816,2559,1000
23,2022-3_Fall,5156,4737,3903,2602,993
24,2022-3_Fall,4772,4342,3573,2416,1188
25,2022-3_Fall,4701,3941,3190,2128,874
