name,season,finishedPopulation,bronzeMedalCount,silverMedalCount,goldMedalCount,authorMedalCount
1,2022-2_Summer,20553,20416,20115,18434,11300
2,2022-2_Summer,19383,19120,18647,16410,10662
3,2022-2_Summer,18892,18795,18452,17728,7757
4,2022-2_Summer,18193,17935,17343,16288,9618
5,2022-2_Summer,17899,17820,17340,15196,7060
6,2022-2_Summer,15616,15487,14869,12508,5497
7,2022-2_Summer,14798,14600,13897,12226,7666
8,2022-2_Summer,14610,14565,14458,14060,12334
9,2022-2_Summer,14031,13722,12844,11089,5904
10,2022-2_Summer,13720,13659,13310,11448,5672
11,2022-2_Summer,12862,12662,12178,9651,3591
12,2022-2_Summer,12208,11996,11473,10137,3848
13,2022-2_Summer,11940,11803,11263,9296,3966
14,2022-2_Summer,10641,9943,8331,6667,2731
15,2022-2_Summer,10428,10008,9122,8094,3632
16,2022-2_Summer,9063,8499,8058,7546,3750
17,2022-2_Summer,9696,9600,9265,7945,2589
18,2022-2_Summer,8242,7665,6636,5122,3020
19,2022-2_Summer,9002,8763,7901,5681,2342
20,2022-2_Summer,7510,6896,6292,5308,2372
21,2022-2_Summer,7680,7183,5065,2872,975
22,2022-2_Summer,5420,4849,4058,2999,1153
23,2022-2_Summer,5890,5276,4152,2865,1458
24,2022-2_Summer,6031,5403,4644,3608,1256
25,2022-2_Summer,5311,4814,4216,3113,1019
