name,season,finishedPopulation,bronzeMedalCount,silverMedalCount,goldMedalCount,authorMedalCount
1,2022-1_Spring,25028,24805,24349,22224,12589
2,2022-1_Spring,23745,23554,23188,21957,8041
3,2022-1_Spring,23017,22901,22180,20568,13086
4,2022-1_Spring,21797,21441,19906,15199,4755
5,2022-1_Spring,21169,20961,19856,15593,4635
6,2022-1_Spring,17330,17065,15802,10789,3737
7,2022-1_Spring,16243,16077,15252,12946,4408
8,2022-1_Spring,16128,15799,15281,14647,8200
9,2022-1_Spring,15711,15557,14969,10972,4606
10,2022-1_Spring,14877,14663,13320,10541,3260
11,2022-1_Spring,13416,13085,12003,9235,3268
12,2022-1_Spring,11078,9978,8890,7467,3721
13,2022-1_Spring,10909,10327,9659,7197,2003
14,2022-1_Spring,10125,9008,6522,3870,1915
15,2022-1_Spring,9145,8266,6300,5148,2079
16,2022-1_Spring,9216,8356,6625,4933,1984
17,2022-1_Spring,7639,6400,4979,3810,1641
18,2022-1_Spring,6595,5937,5105,4013,1930
19,2022-1_Spring,6545,5608,4771,4137,1930
20,2022-1_Spring,6822,6406,5333,3579,1522
21,2022-1_Spring,6064,5492,4683,3301,1612
22,2022-1_Spring,5895,5141,4252,3241,1751
23,2022-1_Spring,4970,4079,3347,2647,1198
24,2022-1_Spring,5406,4420,3276,2112,768
25,2022-1_Spring,5632,4383,3446,2432,1111
