name,season,finishedPopulation,bronzeMedalCount,silverMedalCount,goldMedalCount,authorMedalCount
1,2021-3_Fall,22502,21644,20239,17489,11186
2,2021-3_Fall,21232,20892,20113,19385,11079
3,2021-3_Fall,20440,19948,18547,15146,7264
4,2021-3_Fall,18351,16434,13450,11708,5243
5,2021-3_Fall,17739,17301,16427,13862,7297
6,2021-3_Fall,14203,13238,11709,10269,5191
7,2021-3_Fall,13730,13169,11301,7879,3499
8,2021-3_Fall,12917,12448,11112,8060,2930
9,2021-3_Fall,12377,11779,10532,8797,3883
10,2021-3_Fall,12581,12327,11828,10292,5237
11,2021-3_Fall,10856,10400,8010,4574,2463
12,2021-3_Fall,10424,10162,9592,7915,3566
13,2021-3_Fall,10528,10136,9372,7680,3229
14,2021-3_Fall,9206,8500,7572,6476,3105
15,2021-3_Fall,10019,9567,7802,5184,2684
16,2021-3_Fall,9452,9080,7107,5182,1987
17,2021-3_Fall,8413,7867,6987,5443,2327
18,2021-3_Fall,8850,8209,6752,4953,2517
19,2021-3_Fall,6956,5553,3890,2708,1640
20,2021-3_Fall,8067,7244,5486,3870,1713
21,2021-3_Fall,7440,6222,3538,2211,1084
22,2021-3_Fall,6752,6282,5348,3921,1675
23,2021-3_Fall,6253,5461,4085,2321,950
24,2021-3_Fall,5768,4864,3750,2451,839
25,2021-3_Fall,5824,4672,3486,2271,875
