name,season,finishedPopulation,bronzeMedalCount,silverMedalCount,goldMedalCount,authorMedalCount
1,2020-2_Summer,26203,25824,24863,21758,9123
2,2020-2_Summer,24371,23647,23473,21330,4066
3,2020-2_Summer,23387,22799,20128,16016,8904
4,2020-2_Summer,22592,22247,21649,17742,5741
5,2020-2_Summer,22066,21609,19351,16618,2722
6,2020-2_Summer,21517,21483,21166,19095,11377
7,2020-2_Summer,20699,20547,19331,14096,4580
8,2020-2_Summer,20211,20082,18454,16604,5958
9,2020-2_Summer,19228,18986,17645,12520,2786
10,2020-2_Summer,18662,17994,14229,9019,2492
11,2020-2_Summer,17507,16792,15711,13771,6731
12,2020-2_Summer,17177,16715,14650,9125,2634
13,2020-2_Summer,16957,16619,14189,10117,2773
14,2020-2_Summer,16293,15773,14853,13542,9929
15,2020-2_Summer,16658,16407,14599,9990,2504
16,2020-2_Summer,14804,14391,12847,10226,2441
17,2020-2_Summer,15623,15479,14311,9367,1928
18,2020-2_Summer,14952,14565,13355,8937,2020
19,2020-2_Summer,14396,14008,13203,11005,3401
20,2020-2_Summer,12754,11821,9338,6343,1541
21,2020-2_Summer,14178,13730,11916,9251,4030
22,2020-2_Summer,12905,12221,10883,8846,4266
23,2020-2_Summer,12055,11328,10332,7460,1948
24,2020-2_Summer,14110,14047,13017,8460,3519
25,2020-2_Summer,11990,11795,9484,5399,1198
