name,season,finishedPopulation,bronzeMedalCount,silverMedalCount,goldMedalCount,authorMedalCount
1,2021-1_Spring,29080,28350,27409,25762,15140
2,2021-1_Spring,27935,27718,27169,25594,16521
3,2021-1_Spring,27012,26734,25883,22543,2582
4,2021-1_Spring,25415,25164,23620,18056,2600
5,2021-1_Spring,24034,23561,22685,20222,5734
6,2021-1_Spring,21240,20578,17595,8780,2271
7,2021-1_Spring,20037,19772,17870,12451,3012
8,2021-1_Spring,19299,18871,16634,11055,3505
9,2021-1_Spring,17707,16966,14832,10154,3650
10,2021-1_Spring,17150,16586,14782,11189,2890
11,2021-1_Spring,14403,13518,11493,8669,2422
12,2021-1_Spring,14123,13415,11953,8574,2326
13,2021-1_Spring,12153,11246,9883,8352,4202
14,2021-1_Spring,12901,12153,9976,6112,1468
15,2021-1_Spring,12472,11991,9541,4288,1669
16,2021-1_Spring,11466,10755,8344,5744,1929
17,2021-1_Spring,11148,10654,9721,6428,1575
18,2021-1_Spring,10835,9704,7174,4211,1859
19,2021-1_Spring,9855,8717,6316,3492,1107
20,2021-1_Spring,9915,9345,7663,4877,1478
21,2021-1_Spring,8917,7136,3742,2162,856
22,2021-1_Spring,8520,7644,5727,3662,1102
23,2021-1_Spring,7698,5919,3140,1762,791
24,2021-1_Spring,6556,5066,3135,1844,625
25,2021-1_Spring,6244,4952,3303,1924,664
