name,season,finishedPopulation,bronzeMedalCount,silverMedalCount,goldMedalCount,authorMedalCount
1,2022-0_Winter,19191,18991,18453,16880,10089
2,2022-0_Winter,18178,18030,17520,15864,7430
3,2022-0_Winter,17368,17047,15665,12527,6126
4,2022-0_Winter,16356,16122,15678,13224,5090
5,2022-0_Winter,15056,14552,13353,10860,5513
6,2022-0_Winter,12560,12105,11564,10834,5235
7,2022-0_Winter,12392,11929,10366,8325,3988
8,2022-0_Winter,11364,10452,7974,6346,3316
9,2022-0_Winter,10859,10503,9446,7179,3430
10,2022-0_Winter,10669,10480,10053,8736,3379
11,2022-0_Winter,9523,8655,6088,3872,1892
12,2022-0_Winter,8719,8298,7642,5856,2953
13,2022-0_Winter,8810,8508,8001,7190,4895
14,2022-0_Winter,8762,8490,7408,4548,1788
15,2022-0_Winter,7822,7318,5796,4216,2041
16,2022-0_Winter,7510,7131,5781,3583,1216
17,2022-0_Winter,6291,5651,4810,3789,1561
18,2022-0_Winter,6093,5333,4160,3017,1139
19,2022-0_Winter,5568,4860,3834,2867,1137
20,2022-0_Winter,5582,4882,4092,3184,1167
21,2022-0_Winter,5317,4730,3700,2335,861
22,2022-0_Winter,4710,4255,3597,2808,1102
23,2022-0_Winter,4276,3797,2718,1502,567
24,2022-0_Winter,4397,3927,2673,1598,700
25,2022-0_Winter,4210,3366,2476,1721,779
