name,season,finishedPopulation,bronzeMedalCount,silverMedalCount,goldMedalCount,authorMedalCount
1,2021-0_Winter,18817,17582,14526,7629,2569
2,2021-0_Winter,15992,12266,11272,10966,3253
3,2021-0_Winter,16169,15263,12749,9412,1625
4,2021-0_Winter,15280,14457,11845,7646,1868
5,2021-0_Winter,14310,13057,9925,5717,1517
6,2021-0_Winter,13565,12907,11662,8673,1779
7,2021-0_Winter,12624,11816,8525,4682,1378
8,2021-0_Winter,11749,10768,8067,3709,1022
9,2021-0_Winter,11489,10816,8935,4712,1494
10,2021-0_Winter,8925,7650,5657,3673,1408
11,2021-0_Winter,8639,6464,4076,3152,1199
12,2021-0_Winter,8713,7486,5318,3070,869
13,2021-0_Winter,8272,6680,3530,2598,923
14,2021-0_Winter,8614,8182,7681,6855,1440
15,2021-0_Winter,7752,6535,4033,2185,781
16,2021-0_Winter,7025,5514,3792,2246,998
17,2021-0_Winter,7816,7496,5449,2431,562
18,2021-0_Winter,6345,5450,4797,3630,919
19,2021-0_Winter,6873,6089,4147,2040,571
20,2021-0_Winter,6989,6434,5225,2794,906
21,2021-0_Winter,6483,5314,3206,1679,537
22,2021-0_Winter,5920,4962,3669,2639,860
23,2021-0_Winter,5927,4928,3174,1762,532
24,2021-0_Winter,4252,2835,1888,1251,516
25,2021-0_Winter,4006,2743,1752,1134,387
